161	ঁ
162	ং
163	ঃ
164	অ
165	আ
166	ই
167	ঈ
168	উ
169	ঊ
170	ঋ
171	
172	এ
173	ঐ
174	
175	
176	ও
177	ঔ
178	
179	ক
180	খ
181	গ
182	ঘ
183	ঙ
184	চ
185	ছ
186	জ
187	ঝ
188	ঞ
189	ট
190	ঠ
191	ড
192	ঢ
193	ণ
194	ত
195	থ
196	দ
197	ধ
198	ন
199	
200	প
201	ফ
202	ব
203	ভ
204	ম
205	য
206	য়
207	র
208	
209	ল
210	
211	
212	
213	শ
214	ষ
215	স
216	হ
218	া
219	ি
220	ী
221	ু
222	ূ
223	ৃ
224	
225	ে
226	ৈ
227	
228	
229	ো
230	ৌ
231	
232	্
233	়
234	
235	
236	
237	
238	
241	০
242	১
243	২
244	৩
245	৪
246	৫
247	৬
248	৭
249	৮
250	৯
251	
252	
253	
254	
