161	ઁ
162	ં
163	ઃ
164	અ
165	આ
166	ઇ
167	ઈ
168	ઉ
169	ઊ
170	ઋ
171	
172	એ
173	ઐ
174	ઍ
175	
176	ઓ
177	ઔ
178	ઑ
179	ક
180	ખ
181	ગ
182	ઘ
183	ઙ
184	ચ
185	છ
186	જ
187	ઝ
188	ઞ
189	ટ
190	ઠ
191	ડ
192	ઢ
193	ણ
194	ત
195	થ
196	દ
197	ધ
198	ન
199	
200	પ
201	ફ
202	બ
203	ભ
204	મ
205	ય
206	
207	ર
208	
209	લ
210	ળ
211	
212	વ
213	શ
214	ષ
215	સ
216	હ
218	ા
219	િ
220	ી
221	ુ
222	ૂ
223	ૃ
224	
225	ે
226	ૈ
227	ૅ
228	
229	ો
230	ૌ
231	ૉ
232	્
233	઼
234	
235	
236	
237	
238	
241	૦
242	૧
243	૨
244	૩
245	૪
246	૫
247	૬
248	૭
249	૮
250	૯
251	
252	
253	
254	
